data_type,setting_data,created_date,updated_date,created_by,page_setting_id,section
logo,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 13:24:03,2023-12-06 13:24:03," ",3345,sample 30 Nov Data
text,welcome sample 30 Nov Data,2023-12-06 13:24:03,2023-12-06 13:24:03," ",3346,sample 30 Nov Data
logo,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 13:24:03,2023-12-06 13:24:03," ",3347,left pannel middel container
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 13:24:03,2023-12-06 13:24:03," ",3348,left pannel middel container
html,<div><p>Welcome to The Website</p></div>,2023-12-06 13:24:03,2023-12-06 13:24:03," ",3349,left pannel
logo,uploads/Home/files/logo/1701766282766341722.jpg,2023-12-06 13:24:03,2023-12-06 13:24:03," ",3350,footer email symbol logo
logo,uploads/Home/files/logo/1701766269025024929.jpg,2023-12-06 13:24:03,2023-12-06 13:24:03," ",3351,footer email symbol logo
logo,uploads/Home/files/logo/1701763423131661892.jpg,2023-12-06 13:24:03,2023-12-06 13:24:03," ",3352,header top logo 
,,2023-12-06 13:24:03,2023-12-06 13:24:03," ",3353,
html,<div><p>Welcome to The Website</p></div>,2023-12-06 11:29:42,2023-12-06 13:09:19," ",2040,left pannel
data_type,setting_data,2023-12-06 11:29:42,2023-12-06 13:09:19," ",2039,section
logo,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 11:29:42,2023-12-06 13:09:19," ",2038,sample 30 Nov Data
text,welcome sample 30 Nov Data,2023-12-06 11:29:42,2023-12-06 13:09:19," ",2037,sample 30 Nov Data
logo,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 11:29:42,2023-12-06 13:09:19," ",2036,left pannel middel container
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 11:29:42,2023-12-06 13:09:19," ",2035,left pannel middel container
html,<div><p>Welcome to The Website</p></div>,2023-12-06 11:29:42,2023-12-06 13:09:19," ",2034,left pannel
data_type,setting_data,2023-12-06 11:29:42,2023-12-06 13:09:19," ",2033,section
,,2023-12-06 11:29:42,2023-12-06 13:09:19," ",2032,
logo,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 11:29:42,2023-12-06 13:09:19," ",2031,sample 30 Nov Data
text,welcome sample 30 Nov Data,2023-12-06 11:29:42,2023-12-06 13:09:19," ",2030,sample 30 Nov Data
logo,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 11:29:42,2023-12-06 13:09:19," ",2029,left pannel middel container
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 11:29:42,2023-12-06 13:09:19," ",2028,left pannel middel container
html,<div><p>Welcome to The Website</p></div>,2023-12-06 11:29:42,2023-12-06 13:09:19," ",2027,left pannel
data_type,setting_data,2023-12-06 11:29:42,2023-12-06 13:09:19," ",2026,section
logo,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 11:29:42,2023-12-06 13:09:19," ",2025,sample 30 Nov Data
text,welcome sample 30 Nov Data,2023-12-06 11:29:42,2023-12-06 13:09:19," ",2024,sample 30 Nov Data
text,welcome to website,2023-12-06 13:24:03,2023-12-06 13:24:03," ",3354,left pannel header
logo,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 11:29:42,2023-12-06 13:09:19," ",2023,left pannel middel container
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 11:29:42,2023-12-06 13:09:19," ",2022,left pannel middel container
html,<div><p>Welcome to The Website</p></div>,2023-12-06 11:29:42,2023-12-06 13:09:19," ",2021,left pannel
data_type,setting_data,2023-12-06 11:29:42,2023-12-06 13:09:19," ",2020,section
logo,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 11:29:42,2023-12-06 13:09:19," ",2019,sample 30 Nov Data
text,welcome sample 30 Nov Data,2023-12-06 11:29:42,2023-12-06 13:09:19," ",2018,sample 30 Nov Data
logo,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 11:29:42,2023-12-06 13:09:19," ",2017,left pannel middel container
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 11:29:42,2023-12-06 13:09:19," ",2016,left pannel middel container
html,<div><p>Welcome to The Website</p></div>,2023-12-06 11:29:42,2023-12-06 13:09:19," ",2015,left pannel
logo,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 11:29:42,2023-12-06 13:09:19," ",2014,sample 30 Nov Data
text,welcome sample 30 Nov Data,2023-12-06 11:29:42,2023-12-06 13:09:19," ",2013,sample 30 Nov Data
logo,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 11:29:42,2023-12-06 13:09:19," ",2012,left pannel middel container
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 11:29:42,2023-12-06 13:09:19," ",2011,left pannel middel container
html,<div><p>Welcome to The Website</p></div>,2023-12-06 11:29:42,2023-12-06 13:09:19," ",2010,left pannel
logo,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 11:29:42,2023-12-06 13:09:19," ",2009,sample 30 Nov Data
text,welcome sample 30 Nov Data,2023-12-06 11:29:41,2023-12-06 13:09:19," ",2008,sample 30 Nov Data
logo,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 11:29:41,2023-12-06 13:09:19," ",2007,left pannel middel container
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 11:29:43,2023-12-06 13:09:19," ",2057,left pannel middel container
,,2023-12-06 11:29:43,2023-12-06 13:09:19," ",2052,
logo,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 13:24:03,2023-12-06 13:24:03," ",3355,sample 30 Nov Data
text,welcome sample 30 Nov Data,2023-12-06 13:24:03,2023-12-06 13:24:03," ",3356,sample 30 Nov Data
logo,uploads/Home/files/logo/1701150370301558988.jpg,2023-12-06 13:24:03,2023-12-06 13:24:03," ",3357,left pannel middel container
logo,uploads/Home/files/logo/1701150314464851586.jpg,2023-12-06 13:24:03,2023-12-06 13:24:03," ",3358,left pannel middel container
html,<div><p>Welcome to The Website</p></div>,2023-12-06 13:24:03,2023-12-06 13:24:03," ",3359,left pannel
data_type,setting_data,2023-12-06 13:24:03,2023-12-06 13:24:03," ",3360,section
logo,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 13:24:03,2023-12-06 13:24:03," ",3361,sample 30 Nov Data
logo,uploads/Home/files/logo/1701327999224112928.jpg,2023-12-06 13:28:04,2023-12-06 13:28:04," ",7197,sample 30 Nov Data
